customer_id,account_length,location_code,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,Churn,
1061,102,452,no,no,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,No,
1062,110,452,no,no,0,241.2,105,41,174.3,85,14.82,245.3,59,11.04,8.5,4,2.3,2,No,
1063,122,452,yes,no,0,247.9,125,41.25,251.2,98,20.67,180.4,59,8.21,11,2,2.97,0,Yes,
1064,50,452,yes,no,0,99.6,113,16.93,320.7,102,27.24,163.2,59,7.25,13.7,5,3.7,2,Yes,
1065,105,445,no,no,0,270.9,98,46.05,226.2,110,19.23,178.8,60,8.05,8.8,5,2.38,0,Yes,
1066,90,452,no,no,0,193.7,83,32.93,154.2,79,13.11,299,60,13.46,12.7,3,3.43,1,No,
1067,73,547,no,no,0,254.7,80,43.3,90.2,79,7.67,153.4,60,6.9,10.6,8,2.86,0,No,
1068,123,445,no,no,0,206.9,115,35.17,224.4,86,19.07,197.4,60,8.88,8.3,2,2.24,3,No,
1069,164,445,no,yes,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,No,
1070,142,445,yes,yes,25,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,9.8,3,2.65,0,No,
1071,69,452,no,no,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,No,
1072,134,452,no,no,0,141.7,95,24.09,205.6,101,17.48,218.5,60,9.83,8.8,6,2.38,0,No,
1073,82,445,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,No,
1074,126,445,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,No,
1075,137,452,no,no,0,115,130,19.55,137.8,83,11.71,224,61,10.08,7.3,4,1.97,3,No,
1076,151,445,no,no,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,No,
1077,71,452,no,no,0,207,112,35.19,173.8,96,14.77,178.4,61,8.03,12.1,3,3.27,1,No,
1078,94,445,no,no,0,269.2,104,45.76,193.8,144,16.47,257.6,61,11.59,8.9,2,2.4,3,Yes,
1079,73,445,no,no,0,194.8,112,33.12,167.2,85,14.21,100.3,61,4.51,10.8,6,2.92,1,No,
1080,162,547,no,yes,46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0,No,
1081,84,445,no,yes,30,106.5,65,18.11,225.7,108,19.18,188.6,61,8.49,5.7,3,1.54,2,No,
1082,151,452,no,no,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2,No,
1083,143,445,no,no,0,155.5,101,26.44,213.4,89,18.14,237.9,61,10.71,7.6,11,2.05,1,No,
1084,95,452,no,no,0,269,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2,Yes,
1085,101,452,no,no,0,118.6,89,20.16,199.6,97,16.97,53.3,61,2.4,11.5,5,3.11,1,No,
1086,125,445,no,no,0,113,108,19.21,169.2,107,14.38,156.6,61,7.05,9.2,5,2.48,2,Yes,
1087,106,452,no,no,0,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27,2,No,
1088,100,547,no,yes,38,224.7,121,38.2,294,131,24.99,290,61,13.05,9.8,6,2.65,0,No,
1089,97,547,no,no,0,125.8,95,22.54,159.8,103,14.43,199.1,61,8.73,11.9,3,3.21,4,Yes,
1090,152,452,no,no,0,323.8,53,52.03,155.9,100,14,111.4,61,5.55,10.4,8,2.81,1,Yes,
1091,80,452,no,no,0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,No,
1092,148,547,yes,no,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,No,
1093,106,547,no,no,0,274.4,120,46.65,198.6,82,16.88,160.8,62,7.24,6,3,1.62,1,No,
1094,44,452,no,yes,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14,,3.78,0,No,
1095,160,452,no,no,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,3,No,
1096,124,452,no,no,0,150.3,101,25.55,255.9,112,21.75,136.7,62,6.15,12.5,4,3.38,2,No,
1097,148,452,yes,no,0,218.7,111,37.18,155.6,133,13.23,277.4,62,12.48,8.2,5,2.21,1,No,
1098,60,547,no,yes,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2,No,
1099,50,452,yes,no,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2,Yes,
1100,167,452,no,no,0,158.2,130,30.76,162.3,111,14.73,219.5,62,9.74,12.4,3,3.35,4,Yes,
1101,173,547,no,no,0,172.5,78,29.33,142.6,91,12.12,102,63,4.59,10.9,2,2.94,0,No,
1102,139,452,no,no,0,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,No,
1103,118,452,no,yes,36,294.9,106,50.13,165.7,115,14.08,189.2,63,8.51,9.8,5,2.65,3,No,
1104,93,452,no,no,0,266,120,45.22,130.1,84,11.06,165.8,63,7.46,13.1,6,3.54,3,No,
1105,104,452,no,no,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13,6,3.51,0,No,
1106,91,452,no,no,0,190.5,128,32.39,205.5,103,17.47,130.7,63,5.88,13.8,5,3.73,0,No,
1107,127,547,no,yes,19,129.7,115,22.05,160.8,101,13.67,265,63,11.93,12.2,3,3.29,2,No,
1108,75,445,yes,no,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,Yes,
1109,97,547,no,no,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,Yes,
1110,152,452,no,no,0,317.8,60,54.03,152.9,100,13,123.4,63,5.55,10.4,7,2.81,1,Yes,
1111,80,452,no,no,0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2,No,
1112,138,547,no,no,0,205.9,96,35,257.1,94,21.85,209,63,9.4,12.1,8,3.27,0,No,
1113,107,547,no,yes,27,283.4,104,48.18,224.1,152,19.05,241.3,63,10.86,14.4,7,3.89,2,No,
1114,129,445,no,no,0,186,127,31.62,262.3,96,22.3,98.9,63,4.45,11.5,6,3.11,4,No,
1115,77,445,no,no,0,62.4,82,12.61,155.9,123,15.44,217.6,63,9.43,5.7,6,1.54,5,Yes,
1116,177,452,no,no,0,271.1,86,47.24,234.2,84,18.14,233.7,63,10.11,8.9,7,2.4,3,Yes,
1117,77,445,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,Yes,
1118,119,445,no,no,0,294.2,100,50.01,232.5,53,19.76,195,64,8.78,9,1,2.43,0,Yes,
1119,171,547,no,yes,17,186.9,94,31.77,240,138,20.4,200.9,64,9.04,5.8,3,1.57,1,No,
1120,97,452,no,yes,28,202.3,97,34.39,69.2,84,5.88,257.6,64,11.59,6.7,3,1.81,1,No,
1121,139,452,no,no,0,181.6,119,30.87,335.7,118,28.53,149.8,64,6.74,8.3,6,2.24,4,No,
1122,137,547,no,no,0,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,No,
1123,205,547,no,yes,24,175.8,139,29.89,155,98,13.18,180.7,64,8.13,7.8,5,2.11,2,No,
1124,40,547,no,no,0,81.7,123,13.89,210.2,108,17.87,212,64,9.54,11.3,3,3.05,6,Yes,
1125,110,547,no,no,0,188,127,31.96,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,No,
1126,116,547,no,no,0,137.4,126,23.36,120,94,10.2,130.3,64,5.86,12.4,2,3.35,3,No,
1127,130,445,no,no,0,252,101,42.84,170.2,105,14.47,209.2,64,9.41,5.7,5,1.54,0,No,
1128,16,547,no,no,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,No,
1129,167,452,no,no,0,169.2,124,28.76,173.3,108,14.73,216.5,64,9.74,12.4,4,3.35,4,Yes,
1130,32,445,no,no,0,171.2,82,29.1,185.6,102,15.78,203.3,64,900.15,10.2,7,2.75,1,No,
1131,53,452,no,yes,27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,No,
1132,40,547,no,no,0,74.7,130,15.89,218.2,104,16.87,217,64,9.54,11.3,2,3.05,6,Yes,
1133,95,452,no,no,0,263,116,43.73,247.7,121,20.86,178.3,64,8.07,7.3,3,1.97,2,Yes,
1134,125,445,no,no,0,112,114,19.21,179.2,112,14.38,165.6,64,7.05,9.2,6,2.48,2,Yes,
1135,115,445,no,no,0,268,115,45.56,153.6,106,13.06,232.3,65,10.45,17,1,4.59,3,No,
1136,108,452,no,no,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,No,
1137,105,452,yes,no,0,150,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3,No,
1138,106,547,no,no,0,159.6,94,27.13,276.8,118,23.53,223.5,65,10.06,8.8,3,2.38,0,No,
1139,31,547,no,no,0,165.4,84,28.12,203.7,107,17.31,201.7,65,9.08,8.2,1,2.21,1,No,
1140,70,547,no,no,0,147.1,105,25.01,200,135,17,234.9,65,10.57,12.5,9,3.38,3,No,
1141,83,452,no,no,0,178.8,102,30.4,167.9,84,14.27,178.9,65,8.05,8.6,4,2.32,3,No,
1142,162,445,no,no,0,217.6,87,36.99,279,71,23.72,250.7,65,11.28,10.4,4,2.81,2,Yes,
1143,64,445,no,no,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1,No,
1144,172,445,no,no,0,203.9,109,34.66,234,123,19.89,160.7,65,7.23,17.8,4,4.81,4,No,
1145,88,452,no,no,0,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3,No,
1146,104,445,no,no,0,200.2,92,34.03,118.7,87,10.09,236.6,65,10.65,6,6,1.62,2,No,
1147,90,445,no,yes,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,1,No,
1148,101,547,no,yes,9,160.1,116,27.22,210,121,17.85,139.1,65,6.26,10.8,9,2.92,0,No,
1149,119,445,no,no,0,279.2,106,48.01,229.5,49,18.76,199,65,8.78,9,2,2.43,0,Yes,
1150,77,452,no,no,0,163,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,No,
1151,44,452,no,no,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,Yes,
1152,51,547,no,no,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,No,
1153,164,547,no,yes,30,238.8,100,40.6,230,121,19.55,206.3,66,9.28,13.2,8,3.56,1,No,
1154,93,452,no,no,0,173,131,29.41,190.4,108,16.18,290,66,13.05,10.4,2,2.81,0,No,
1155,140,445,no,no,0,162.6,98,27.64,206.2,109,17.53,141.6,66,6.37,8.2,2,2.21,1,No,
1156,102,547,yes,no,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12,8,3.24,3,No,
1157,126,452,no,no,0,103.7,93,17.63,127,107,10.8,329.3,66,14.82,14.4,1,3.89,0,No,
1158,103,452,no,no,0,173.5,83,29.5,244.3,65,20.77,221.6,66,9.97,9.7,2,2.62,3,No,
1159,177,445,no,no,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2,No,
1160,80,547,no,no,0,203.7,92,34.63,216.4,97,18.39,154.2,66,6.94,7.6,5,2.05,2,No,
1161,87,452,no,no,0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,No,
1162,117,547,no,no,0,158.7,84,26.98,181.7,91,15.44,177.3,67,7.98,7.7,10,2.08,2,No,
1163,140,452,no,no,0,149.7,71,25.45,212.5,97,18.06,245.9,67,11.07,12.6,4,3.4,3,No,
1164,99,445,no,no,0,155.3,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,4,3.35,0,No,
1165,113,445,no,no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,No,
1166,205,547,no,no,0,49.9,123,8.48,150.7,81,12.81,188.2,67,8.47,10.1,4,2.73,2,No,
1167,56,452,yes,no,0,177.7,114,30.21,215.6,110,18.33,236.7,67,10.65,10.5,5,2.84,1,No,
1168,130,452,no,yes,45,174.5,120,29.67,217.5,95,18.49,220.3,67,9.91,12.2,2,3.29,1,No,
1169,107,547,yes,no,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11,9,2.97,2,No,
1170,64,445,no,yes,19,291.1,150,49.49,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1,No,
1171,89,445,no,no,0,105.9,151,18,189.6,142,16.12,170.9,67,7.69,12.7,7,3.43,0,No,
1172,122,452,no,no,0,215.6,86,36.65,167.8,59,14.26,207,67,9.32,6.4,8,1.73,3,No,
1173,169,445,no,no,0,142.5,82,24.23,231.4,110,19.67,131.2,67,5.9,10,4,2.7,2,No,
1174,76,547,yes,no,0,241,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1,Yes,
1175,96,445,no,no,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3,No,
1176,116,452,no,yes,27,204.7,118,34.8,209.4,91,17.8,212.9,67,9.58,7,2,1.89,2,No,
1177,210,445,no,no,0,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2,No,
1178,95,547,yes,yes,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,Yes,
1179,64,452,no,yes,22,200.4,80,34.07,131.1,84,11.14,230.7,67,10.38,7.6,5,2.05,1,No,
1180,43,452,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,No,
1181,24,445,no,,,151,70,25.33,126,87,11.14,224.6,67,,8.6,2,2.32,2,Yes,
1182,44,452,no,no,0,322.6,133,53.46,151.8,90,13.82,190.7,67,8.94,7.3,2,1.97,4,Yes,
1183,95,547,yes,yes,41,124.8,90,24.26,202.8,56,17.07,136.7,67,6.02,10.3,10,2.78,5,Yes,
1184,66,445,no,yes,40,141.7,87,24.09,268.3,89,22.81,241.3,68,10.86,8.5,7,2.3,0,No,
1185,144,452,no,no,0,133.3,101,22.66,255.5,127,21.72,228.6,68,10.29,11.6,2,3.13,0,No,
1186,70,452,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,No,
1187,102,452,no,yes,31,125.3,92,21.3,141.2,108,12,168.2,68,7.57,6.3,2,1.7,3,No,
1188,81,445,no,no,0,166.2,102,28.25,217.6,112,18.5,220.2,68,9.91,13.2,2,3.56,4,No,
1189,109,452,no,no,0,200.1,72,34.02,300.9,120,25.58,236,68,10.62,11.9,5,3.21,0,No,
1190,54,445,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,No,
1191,128,547,no,no,0,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,No,
1192,128,452,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,Yes,
1193,82,452,no,yes,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,No,
1194,75,445,no,no,0,147.5,110,25.08,191.7,97,16.29,135,68,6.08,16.4,3,4.43,2,No,
1195,127,445,no,yes,22,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,No,
1196,96,452,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,-9.3,5,2.51,2,No,
1197,108,452,no,no,0,210.6,117,35.8,164.2,103,13.96,201.4,68,9.06,9.4,5,2.54,0,No,
1198,75,547,no,yes,41,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,No,
1199,161,452,no,no,0,151.6,117,25.77,219.4,87,18.65,224.7,68,10.11,4,5,1.08,1,No,
1200,35,547,no,yes,27,241.7,87,41.09,142,101,12.07,288.9,68,13,9.4,4,2.54,1,No,
1201,63,547,no,yes,13,214.2,61,36.41,181.2,88,15.4,174,68,7.83,10.3,2,2.78,0,No,
1202,70,547,no,yes,30,143.4,72,24.38,170,92,14.45,127.9,68,5.76,9.4,4,2.54,3,No,
1203,180,452,no,no,0,227.9,112,37.23,243,95,20.25,230.1,68,9.72,6.7,4,1.81,3,Yes,
1204,162,445,no,no,0,229.6,90,35.99,271,72,22.72,243.7,68,11.28,10.4,5,2.81,2,Yes,
1205,60,452,no,no,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,No,
1206,24,445,no,no,0,149,73,25.33,131,81,11.14,238.6,69,10.74,8.6,3,2.32,2,Yes,
1207,109,547,no,yes,35,230.5,116,39.19,265.8,130,22.59,269.7,69,12.14,10.6,6,2.86,5,No,
1208,87,445,no,yes,28,143.5,106,24.4,223.5,147,19,175.4,69,7.89,11.2,5,3.02,0,No,
1209,189,547,no,no,0,219.9,80,37.38,143.3,117,12.18,130.6,69,5.88,11.7,7,3.16,1,No,
1210,87,547,no,no,0,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,2,No,
1211,101,452,no,no,0,231.3,87,39.32,224.7,88,19.1,214.6,69,9.66,7.2,7,1.94,1,No,
1212,64,452,yes,no,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,12.5,3,3.38,3,No,
1213,145,452,no,no,0,175.8,89,29.89,274.3,119,23.32,226.6,69,10.2,12.4,4,3.35,1,No,
1214,124,452,no,no,0,254.3,113,43.23,78.9,104,6.71,153.2,69,6.89,11.8,2,3.19,2,No,
1215,161,452,no,no,0,173.4,100,29.48,213.7,74,18.16,141.5,69,6.37,11.5,4,3.11,1,No,
1216,125,445,no,no,0,106.1,95,18.04,157.6,113,13.4,192.5,69,8.66,8.1,3,2.19,1,No,
1217,209,547,no,no,0,255.1,124,43.37,230.6,110,19.6,218,69,9.81,8.5,5,2.3,3,Yes,
1218,107,452,no,no,0,206.9,79,35.17,262.4,117,22.3,149.3,69,6.72,10.7,3,2.89,0,No,
1219,130,452,no,no,0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1,No,
1220,112,445,no,yes,29,198.8,122,33.8,238.6,114,20.28,289.5,69,13.03,11.5,5,3.11,1,No,
1221,84,445,no,no,0,146.8,133,24.96,171.7,73,14.59,234.5,69,10.55,9.9,3,2.67,1,No,
1222,82,452,no,no,0,306.3,111,52.05,187,104,15.39,258.1,69,12.15,11.7,3,3.16,0,Yes,
1223,61,452,no,no,0,250,130,44.2,220.5,129,16.89,233.7,69,10.56,9,4,2.43,1,Yes,
1224,116,445,no,no,0,146.4,79,25.1,169.5,83,15.26,166.8,69,7.55,9.7,2,2.62,6,Yes,
1225,76,547,yes,no,0,238,124,39.97,231.8,92,19.7,227.2,69,9.91,9.9,1,2.67,1,Yes,
1226,98,452,no,no,0,231.2,125,37.92,296.4,72,26.79,195.1,69,8.87,12.4,1,3.35,0,Yes,
1227,62,445,no,yes,42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,0,No,
1228,82,452,no,yes,33,137.8,95,23.43,235.5,128,20.02,268.1,70,12.06,11,6,2.97,2,No,
1229,86,452,no,no,0,217.8,93,37.03,214.7,95,18.25,228.7,70,10.29,11.3,7,3.05,0,No,
1230,89,452,no,no,0,82.3,77,13.99,167.2,80,14.21,194.7,70,8.76,7.2,4,1.94,1,No,
1231,120,452,no,no,0,184.5,103,31.37,209,86,17.77,169.7,70,7.64,10.2,6,2.75,2,No,
1232,54,445,no,no,0,159.8,99,27.17,264,64,22.44,115.7,70,5.21,9.7,7,2.62,2,No,
1233,61,452,no,no,0,260,123,44.2,210.5,127,17.89,234.7,70,10.56,9,3,2.43,1,Yes,
1234,84,547,no,no,0,169.5,96,28.82,157.6,94,13.4,98.2,70,4.42,10.6,7,2.86,0,No,
1235,196,452,no,no,0,234,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,No,
1236,115,452,yes,no,0,180,119,30.6,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35,1,No,
1237,139,452,no,no,0,211.1,103,35.89,206.9,108,17.59,193.9,70,8.73,5.6,4,1.51,0,No,
